sample_collect_date	Genesee	Potlatch	Juliaetta	Troy	Kendrick						
2023-03-14	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-16	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-19	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-21	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-23	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-26	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-28	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-03-30	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-02	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-04	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-06	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-09	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-11	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-13	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-16	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-18	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-20	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-23	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-25	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-27	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-04-30	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-02	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-04	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-07	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-09	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-11	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-14	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-16	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-18	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-21	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-23	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-25	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-28	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-05-30	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-01	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-04	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-06	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-08	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-11	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-13	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-15	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-18	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-20	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-22	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-25	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-27	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-06-29	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-02	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-04	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-06	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-09	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-11	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-13	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-16	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-18	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-20	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-23	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-25	#REF!	#REF!	#REF!	#REF!	#REF!						
